kod;cena;supplierId;typeid;nazov;balenie;
1211128-001-01-999;10.69;8;9;RAVENOL Transfer Fluid DTF-1 - 1 L (VE 12 Stück);1 L;
1211128-004-01-999;10.69;8;9;RAVENOL Transfer Fluid DTF-1 - 4 L (VE 4 Stück);4;
1211128-010-01-999;10.69;8;9;RAVENOL Transfer Fluid DTF-1 - 10 l;plast;
1211128-020-01-999;10.69;8;9;RAVENOL Transfer Fluid DTF-1 - 20 l;plast;
1211140-001-01-999;10.69;8;9;RAVENOL AWD-H Fluid - 1 L (VE 12 Stück);1 L;
1211140-300-05-999;5.59;8;9;RAVENOL AWD-H Fluid - 300 ml (VE 12 Stück);kartuša;
1211141-001-01-999;14.99;8;9;RAVENOL AWD-TOR Fluid - 1 L (VE 12 Stück);1 L;
1211141-004-01-999;14.99;8;9;RAVENOL AWD-TOR Fluid - 4 L (VE 4 Stück);4;
1211141-020-01-999;14.99;8;9;RAVENOL AWD-TOR Fluid - 20 L;plast;
1211147-001-01-999;14.9;8;9;RAVENOL Transfer Fluid BW 44, 1L;1 L;
1211113-001-01-999;7.09;8;9;RAVENOL DPS Fluid - 1 L (VE 12 Stück);1 L;
1211113-010-01-999;7.09;8;9;RAVENOL DPS Fluid - 10 L;plast;
1211113-B20-01-888;7.09;8;9;RAVENOL DPS Fluid - 20 L Bag in Box;bag;
1181201-001-01-999;7.09;8;9;RAVENOL GHA-F Gearbox Hydraulic Actuator Fluid - 1 L (VE 12 Stück);1 L;
1181201-B20-01-888;7.09;8;9;RAVENOL GHA-F Gearbox Hydraulic Actuator Fluid - 20 L Bag in Box;bag;
1222103-001-01-999;10.79;8;9;RAVENOL MDL Multi-disc locking differentials - 1 L (VE 12 Stück);1 L;
1222103-B20-01-888;10.79;8;9;RAVENOL MDL Multi-disc locking differentials - 20 L (Bag in Box);20;
1221104-001-01-999;7.49;8;9;RAVENOL MTF-3 SAE 75W - 1 L (VE 12 Stück);1 L;
1221104-004-01-999;7.49;8;9;RAVENOL MTF-3 SAE 75W - 4 L (VE 4 Stück);4 L;
1221104-010-01-999;7.49;8;9;RAVENOL MTF-3 SAE 75W - 10 L;plast;
1221104-B20-01-888;6.99;8;9;RAVENOL MTF-3 SAE 75W - 20 L Bag in Box;bag;
1221103-001-01-999;7.39;8;9;RAVENOL MTF-2 SAE 75W-80 - 1 L (VE 12 Stück);1 L;
