kod;cena za l kartonovy;supplierId;typeid
1111117-001-01-999;4.99;8;9
1111117-004-01-999;4.79;8;9
1111117-060-01-999;3.99;8;9
1111117-B20-01-888;3.99;8;9
1111151-001-01-999;4.99;8;9
1111151-004-01-999;4.79;8;9
1111151-060-01-999;3.99;8;9
1111151-B20-01-888;3.99;8;9
1111312-001-01-999;4.99;8;9
1111312-005-01-999;4.79;8;9
1111312-020-01-999;3.99;8;9
1111312-060-01-999;3.99;8;9
1116101-001-01-999;5.50;8;9
1116101-005-01-999;5.30;8;9
1116101-060-01-999;4.99;8;9
1116101-B20-01-888;4.99;8;9
1111120-001-01-999;6.99;8;9
1111120-004-01-999;6.69;8;9
1111120-060-01-999;5.99;8;9
1111120-B20-01-888;5.99;8;9
1122103-005-01-999;5.99;8;9
1122103-B20-01-888;5.69;8;9
1141091-001-01-999;8.39;8;9
1141090-001-01-999;8.09;8;9
1141090-005-01-999;7.89;8;9
1111130-001-01-999;5.60;8;9
1111130-004-01-999;5.30;8;9
1111130-005-01-999;5.30;8;9
1111130-060-01-999;4.99;8;9
1111133-001-01-999;5.60;8;9
1111133-004-01-999;5.30;8;9
1111133-005-01-999;5.30;8;9
1111133-060-01-999;4.60;8;9
1111133-B20-01-888;4.65;8;9
1111136-001-01-999;6.39;8;9
1111136-005-01-A01;4.78;8;9
1111132-001-01-999;5.50;8;9
1131100-001-01-999;5.90;8;9
1131100-004-01-999;5.60;8;9
1131100-060-01-999;5.50;8;9
1131100-B20-01-888;5.50;8;9
1112105-001-01-999;5.50;8;9
1112105-004-01-999;5.30;8;9
1112105-060-01-999;4.99;8;9
1112105-B20-01-888;4.99;8;9
1111147-001-01-999;5.50;8;9
1111147-004-01-999;5.30;8;9
1111147-060-01-999;4.99;8;9
1111147-B20-01-888;4.99;8;9
1115100-001-01-999;5.50;8;9
1115100-005-01-999;5.30;8;9
1115100-060-01-999;4.99;8;9
1142100-001-01-999;8.95;8;9
1116102-001-01-999;4.99;8;9
1116102-005-01-999;4.79;8;9
1116102-060-01-999;3.99;8;9
1116102-B20-01-888;3.99;8;9
1112106-001-01-999;3.99;8;9
1112106-010-01-999;3.39;8;9
1112110-001-01-999;3.89;8;9
1112110-004-01-999;3.69;8;9
1112110-005-01-999;3.69;8;9
1112110-020-01-999;3.59;8;9
1112110-B20-01-888;3.39;8;9
1112111-001-01-999;3.99;8;9
1112111-004-01-999;3.69;8;9
1112111-060-01-999;3.59;8;9
1112111-B20-01-888;3.59;8;9
1132100-001-01-999;4.49;8;9
1132100-004-01-999;4.29;8;9
1132100-060-01-999;3.99;8;9
1132100-B20-01-888;3.99;8;9
1112112-001-01-999;3.99;8;9
1112112-004-01-999;3.69;8;9
1112112-060-01-999;3.59;8;9
1112112-B20-01-888;3.59;8;9
1116103-001-01-999;4.50;8;9
1116103-005-01-999;4.30;8;9
1116103-060-01-999;4.10;8;9
1116103-B20-01-888;4.10;8;9
1141105-001-01-999;8.49;8;9
1115101-001-01-999;6.99;8;9
1115101-005-01-999;6.69;8;9
1115101-060-01-999;5.99;8;9
1115101-B20-01-888;5.99;8;9
1115102-001-01-999;5.99;8;9
1115102-005-01-999;5.59;8;9
1115102-060-01-999;4.99;8;9
1115102-B20-01-888;4.99;8;9
1141100-001-01-999;9.17;8;9
1141100-005-01-999;8.65;8;9
1142105-001-01-999;8.69;8;9
1113103-001-01-999;3.59;8;9
1113103-004-01-999;3.39;8;9
1113115-001-01-999;3.99;8;9
1113115-004-01-999;3.69;8;9
1113115-060-01-999;3.39;8;9
1113115-B20-01-888;3.39;8;9
1116104-001-01-999;4.99;8;9
1116104-005-01-999;4.49;8;9
1116104-060-01-999;4.49;8;9
1116104-B20-01-888;4.49;8;9
1117100-001-01-999;3.99;8;9
1117100-005-01-999;3.69;8;9
1117100-060-01-999;3.39;8;9
1117100-B20-01-888;3.39;8;9
1133100-001-01-999;3.99;8;9
1133100-004-01-999;3.79;8;9
1133100-060-01-999;3.39;8;9
1133100-B20-01-888;3.39;8;9
1114110-001-01-999;6.50;8;9
1114110-004-01-999;6.30;8;9
1114110-020-01-999;5.99;8;9
1114110-060-01-999;5.99;8;9
1113120-001-01-999;4.39;8;9
1113125-001-01-999;3.99;8;9
1113125-004-01-999;3.69;8;9
1113125-060-01-999;3.39;8;9
1113125-B20-01-888;3.39;8;9
1141101-001-01-999;9.99;8;9
1141101-004-01-999;8.99;8;9
