kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1211114-010-01-999;6.99;8;9;RAVENOL CVTF NS2/J1 Fluid - 10 L;plast;
1211114-B20-01-888;6.99;8;9;RAVENOL CVTF NS2/J1 Fluid - 20 L Bag in Box;bag;
1211132-001-01-999;8.99;8;9;RAVENOL CVTF NS3/J4 Fluid - 1 L (VE 12 Stück);1 L;NISSAN, MITSUBISHI, SUZUKI 
1211132-010-01-999;7.99;8;9;RAVENOL CVTF NS3/J4 Fluid - 10 L;plast;
1211132-B20-01-888;7.99;8;9;RAVENOL CVTF NS3/J4 Fluid - 20 L Bag in Box;bag;
1211134-001-01-999;7.99;8;9;RAVENOL CVT KFE Fluid - 1 L (VE 12 Stück);1 L;TOYOTA CVT
1211134-B20-01-888;6.99;8;9;RAVENOL CVT KFE Fluid - 20 L Bag in Box;bag;
1211142-001-01-999;9.4;8;9;RAVENOL CVT HCF-2 Fluid - 1 L (VE 12 Stück);1 L;Honda HCF-2
1211142-B20-01-888;8.99;8;9;RAVENOL CVT HCF-2 Fluid - 20 L Bag in Box;bag;
1211108-001-01-999;5.99;8;9;RAVENOL ATF M 9-Serie - 1 L (VE 12 Stück);1 L;MB 236.14
1211108-004-01-999;5.89;8;9;RAVENOL ATF M 9-Serie - 4 L (VE 4 Stück);4 L;
1211108-010-01-999;5.69;8;9;RAVENOL ATF M 9-Serie - 10 L;plast;
1211108-020-01-999;5.69;8;9;RAVENOL ATF M 9-Serie - 20 L;plast;
1211108-B20-01-888;5.69;8;9;RAVENOL ATF M 9-Serie - 20 L Bag in Box;bag;
1211127-001-01-999;7.89;8;9;RAVENOL ATF M 9-FE Serie - 1 L (VE 12 Stück);1 L;MB 236.15
1211127-004-01-999;7.5;8;9;RAVENOL ATF M 9-FE Serie - 4 L (VE 4 Stück);4 L;
1211127-010-01-999;6.99;8;9;RAVENOL ATF M 9-FE Serie - 10 L;plast;
1211127-B20-01-888;6.99;8;9;RAVENOL ATF M 9-FE Serie - 20 L Bag in Box;bag;
1211139-001-01-999;9.9;8;9;RAVENOL ATF M 9-G Serie - 1 L (VE 12 Stück);1 L;MB 236.17
1211139-010-01-999;9.49;8;9;RAVENOL ATF M 9-G Serie - 10 L;plast;
